num_parc,date_wb,heure_wb,P1_IN,P1_OUT,P2_IN,P2_OUT,P3_IN,P3_OUT
1001,2026-08-11,10:00:00,2.0,1.0,1.0,0.0,0.0,1.0
1001,2026-08-11,08:00:00,2.0,1.0,1.0,0.0,0.0,1.0
1001,2026-08-11,06:00:00,2.0,1.0,1.0,0.0,0.0,1.0
1001,2026-08-11,04:00:00,2.0,1.0,1.0,0.0,0.0,1.0
1001,2026-08-11,02:00:00,2.0,1.0,1.0,0.0,0.0,1.0
1003,2026-08-11,10:00:00,3.0,2.0,,,1.0,0.0
1003,2026-08-11,08:00:00,3.0,2.0,,,1.0,0.0
1003,2026-08-11,06:00:00,3.0,2.0,,,1.0,0.0
1003,2026-08-11,04:00:00,3.0,2.0,,,1.0,0.0
1003,2026-08-11,02:00:00,3.0,2.0,,,1.0,0.0
1003,2026-08-08,10:00:00,,,1.0,0.0,,
